Libellé du site,Caractéristique du site,Adresse,Complément d'adresse,Lieu dit,Code Postal,Localité,Code INSEE de la commune,Pays
BARCELONNETTE BP,BUREAU DE POSTE,PLACE PAUL REYNAUD,,0,04400,BARCELONNETTE,04019,FRANCE
BARLES AP,AGENCE POSTALE,ROUTE DEPARTEMENTALE 900A,,0,04140,BARLES,04020,FRANCE
BRAS D ASSE BP,BUREAU DE POSTE,LA BEGUDE,,0,04270,BRAS D ASSE,04031,FRANCE
LA BREOLE AP,AGENCE POSTALE,PLACE PRINCIPALE,,LA BREOLE,04340,UBAYE SERRE PONCON,04033,FRANCE
LE BRUSQUET AP,AGENCE POSTALE,70 RUE DE L ARZIERAS,,0,04420,LE BRUSQUET,04036,FRANCE
LE CHAFFAUT SAINT JURSON AP,AGENCE POSTALE,AU BOURG,PLACE DE LA MAIRIE,0,04510,LE CHAFFAUT ST JURSON,04046,FRANCE
CHAMPTERCIER AP,AGENCE POSTALE,115 RUE PRINCIPALE,,0,04660,CHAMPTERCIER,04047,FRANCE
LA CONDAMINE CHATELARD AP,AGENCE POSTALE,3 RUE HONORE BONNET,,0,04530,LA CONDAMINE CHATELARD,04062,FRANCE
DIGNE R P,BUREAU CENTRE,4 RUE ANDRE HONNORAT,,0,04008,DIGNE LES BAINS CEDEX,04070,FRANCE
ENCHASTRAYES LE SAUZE AP,AGENCE POSTALE,18 PLACE DU SAUZE,,0,04400,ENCHASTRAYES,04073,FRANCE
ESTOUBLON AP,AGENCE POSTALE,25 RUE LOUIS LAURENS,,0,04270,ESTOUBLON,04084,FRANCE
JAUSIERS BP,BUREAU DE POSTE,3 PLACE SAINT NICOLAS DE MYRE,,0,04850,JAUSIERS,04096,FRANCE
LA JAVIE BP,BUREAU DE POSTE,ROUTE NATIONALE 100,,0,04420,LA JAVIE,04097,FRANCE
LARCHE AP,AGENCE POSTALE,LE VILLAGE,,LARCHE,04530,VAL D ORONAYE,04120,FRANCE
LE LAUZET UBAYE AP,AGENCE POSTALE,LES BORDS DU LAC,IMMEUBLE COMMUNAL,0,04340,LE LAUZET UBAYE,04102,FRANCE
MALLEMOISSON BP,BUREAU DE POSTE,L HOUBEYRON,,0,04510,MALLEMOISSON,04110,FRANCE
MONTCLAR AP,AGENCE POSTALE,STATION COL SAINT JEAN,,0,04140,MONTCLAR,04126,FRANCE
MEZEL AP,AGENCE POSTALE,8 RUE DE L ECOLE,,0,04270,MEZEL,04121,FRANCE
SAINT PAUL SUR UBAYE AP,AGENCE POSTALE,PLACE DE L EGLISE,,0,04530,ST PAUL SUR UBAYE,04193,FRANCE
ST VINCENT LES FORTS AP,AGENCE POSTALE,3 RUE DES GARREAUX,LA LAUTARET,ST VINCENT LES FORTS,04340,UBAYE SERRE PONCON,04033,FRANCE
SELONNET AP,AGENCE POSTALE,LE VILLAGE,,0,04140,SELONNET,04203,FRANCE
SEYNE LES ALPES BP,BUREAU DE POSTE,PLACE D ARMES,,0,04140,SEYNE LES ALPES,04205,FRANCE
THOARD BP,BUREAU DE POSTE,LE SERRE,,0,04380,THOARD,04217,FRANCE
LES THUILES AP,AGENCE POSTALE,PLACE FERNAND GILLY,,0,04400,LES THUILES,04220,FRANCE
PRA LOUP AP,AGENCE POSTALE,PRA LOUP,CLOS DU LOUP,0,04400,UVERNET FOURS,04226,FRANCE
LE VERNET AP,AGENCE POSTALE,LE VILLAGE,,0,04140,LE VERNET,04237,FRANCE
SIGONCE AP,AGENCE POSTALE,PLACE DE LA MAIRIE,MAIRIE,0,04300,SIGONCE,04206,FRANCE
BANON BP,BUREAU DE POSTE,PLACE DE LA REPUBLIQUE,,0,04150,BANON,04018,FRANCE
LA BRILLANNE BP,BUREAU DE POSTE,18 ROUTE DES ALPES,,0,04700,LA BRILLANNE,04034,FRANCE
CRUIS AP,AGENCE POSTALE,PLACE DE LA FONTAINE,,0,04230,CRUIS,04065,FRANCE
DAUPHIN ET SAINT MAIME BP,BUREAU DE POSTE,432 CHEMIN DE LA BASTIDE NEUVE,,0,04300,DAUPHIN,04068,FRANCE
FORCALQUIER,BUREAU CENTRE,PLACE DU BOURGUET,,0,04300,FORCALQUIER,04088,FRANCE
LURS AP,AGENCE POSTALE,RUE DE LA MAIRIE,,0,04700,LURS,04106,FRANCE
MANE BP,BUREAU DE POSTE,PLACE DE L EGLISE,,0,04300,MANE,04111,FRANCE
ONGLES AP,AGENCE POSTALE,7 PLACE DE LA FONTAINE,,0,04230,ONGLES,04141,FRANCE
ORAISON BP,BUREAU DE POSTE,5 ALLEE ARTHUR GOUIN,,0,04700,ORAISON,04143,FRANCE
PUIMICHEL AP,AGENCE POSTALE,1 PLACE DELPHINE DE SIGNE,,0,04700,PUIMICHEL,04156,FRANCE
REILLANNE BP,BUREAU DE POSTE,COURS THIERRY D ARGENLIEU,,0,04110,REILLANNE,04160,FRANCE
REVEST DES BROUSSES AP,AGENCE POSTALE,GRAND RUE,,0,04150,REVEST DES BROUSSES,04162,FRANCE
REVEST DU BION AP,AGENCE POSTALE,AVENUE DU VENTOUX,,0,04150,REVEST DU BION,04163,FRANCE
SAINT ETIENNE LES ORGUES BP,BUREAU DE POSTE,BOULEVARD DU 6 JUIN 1944,,0,04230,ST ETIENNE LES ORGUES,04178,FRANCE
