"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01001","L ABERGEMENT CLEMENCIAT","01400","L ABERGEMENT CLEMENCIAT",,"46.15170180297285,4.930600521664882","46.15170180297285","4.930600521664882"
"01002","L ABERGEMENT DE VAREY","01640","L ABERGEMENT DE VAREY",,"46.00713099777772,5.42467488805381","46.00713099777772","5.42467488805381"
"01004","AMBERIEU EN BUGEY","01500","AMBERIEU EN BUGEY",,"45.957470664713995,5.370568254510258","45.957470664713995","5.370568254510258"
"01005","AMBERIEUX EN DOMBES","01330","AMBERIEUX EN DOMBES",,"45.99922938293103,4.911871787269484","45.99922938293103","4.911871787269484"
"01006","AMBLEON","01300","AMBLEON",,"45.74831432147182,5.592784714407381","45.74831432147182","5.592784714407381"
"01007","AMBRONAY","01500","AMBRONAY",,"46.00987321008654,5.362654637706747","46.00987321008654","5.362654637706747"
"01008","AMBUTRIX","01500","AMBUTRIX",,"45.93472676596578,5.335917851427022","45.93472676596578","5.335917851427022"
"01009","ANDERT ET CONDON","01300","ANDERT ET CONDON",,"45.784075995724834,5.660669034960654","45.784075995724834","5.660669034960654"
"01010","ANGLEFORT","01350","ANGLEFORT",,"45.90857775167538,5.794775495547619","45.90857775167538","5.794775495547619"
"01011","APREMONT","01100","APREMONT",,"46.204506491253824,5.661899149597586","46.204506491253824","5.661899149597586"
"01012","ARANC","01110","ARANC",,"45.99714981477952,5.514012480864003","45.99714981477952","5.514012480864003"
"01013","ARANDAS","01230","ARANDAS",,"45.88854030522959,5.498196083251845","45.88854030522959","5.498196083251845"
"01014","ARBENT","01100","ARBENT",,"46.283812915508975,5.68791827947166","46.283812915508975","5.68791827947166"
"01015","ARBOYS EN BUGEY","01300","ARBOYS EN BUGEY","ARBIGNIEU","45.7188735548063,5.640431765610853","45.7188735548063","5.640431765610853"
