,id,nom_serie,numero_episode,numero_saison,date_diffusion,pays,chaine_diffusion,url
0,1,Arthdal Chronicles,8,2,01-10-2023,Corée du Sud,tvN,episode08-411009-01102023-saison2-Arthdal-Chronicles.html
1,2,Behind Your Touch,16,1,01-10-2023,Etats-Unis,Netflix,episode16-408686-01102023-saison1-Behind-Your-Touch.html
2,3,Bob's Burgers,1,14,01-10-2023,Etats-Unis,Fox,episode01-408094-01102023-saison14-Bob-s-Burgers.html
3,4,Entre Tierras,4,1,01-10-2023,Espagne,ATRESplayer,episode04-410970-01102023-saison1-Entre-Tierras.html
4,5,Family Guy,1,22,01-10-2023,Etats-Unis,Fox,episode01-408096-01102023-saison22-Family-Guy.html
5,6,Heartland (CA),1,17,01-10-2023,Canada,CBC,episode01-410271-01102023-saison17-Heartland-(CA).html
6,7,Krapopolis,3,1,01-10-2023,Etats-Unis,Fox,episode03-408093-01102023-saison1-Krapopolis.html
7,8,Last Week Tonight With John Oliver,11,10,01-10-2023,Etats-Unis,HBO,episode11-410868-01102023-saison10-Last-Week-Tonight-With-John-Oliver.html
8,9,Les Mystères de l'amour,8,33,01-10-2023,France,TMC,episode08-410185-01102023-saison33-Les-Mysteres-de-l-amour.html
9,10,SkyMed,1,2,01-10-2023,Canada,CBC Gem,episode01-410144-01102023-saison2-SkyMed.html
10,11,The Simpsons,1,35,01-10-2023,Etats-Unis,Fox,episode01-408095-01102023-saison35-The-Simpsons.html
11,12,The Villains of Valley View,15,2,01-10-2023,Etats-Unis,Disney Channel,episode15-410803-01102023-saison2-The-Villains-of-Valley-View.html
12,13,The Walking Dead: Daryl Dixon,4,1,01-10-2023,Etats-Unis,AMC,episode04-409847-01102023-saison1-The-Walking-Dead-Daryl-Dixon.html
13,14,When Calls the Heart,10,10,01-10-2023,Etats-Unis,Hallmark Channel,episode10-407539-01102023-saison10-When-Calls-the-Heart.html
14,15,5è Rang,4,6,02-10-2023,Canada,Radio Canada,episode04-410913-02102023-saison6-5e-Rang.html
15,16,66-5,5,1,02-10-2023,France,Canal+,episode05-410553-02102023-saison1-66-5.html
16,17,66-5,6,1,02-10-2023,France,Canal+,episode06-410554-02102023-saison1-66-5.html
17,18,Alertes,16,3,02-10-2023,Canada,TVA,episode16-410912-02102023-saison3-Alertes.html
18,19,American Dad!,14,19,02-10-2023,Etats-Unis,TBS (US),episode14-410594-02102023-saison19-American-Dad.html
19,20,Demain nous appartient,31,7,02-10-2023,France,TF1,episode31-410920-02102023-saison7-Demain-nous-appartient.html
20,21,Familie Bundschuh,8,1,02-10-2023,Allemagne,ZDF,episode08-409953-02102023-saison1-Familie-Bundschuh.html
21,22,Ici tout commence,26,4,02-10-2023,France,TF1,episode26-410915-02102023-saison4-Ici-tout-commence.html
22,23,Infiltré(e),3,1,02-10-2023,France,France 2,episode03-410718-02102023-saison1-Infiltre(e).html
23,24,Infiltré(e),4,1,02-10-2023,France,France 2,episode04-410719-02102023-saison1-Infiltre(e).html
24,25,Kamikaze (NOR),3,1,02-10-2023,Suède,Discovery +,episode03-410738-02102023-saison1-Kamikaze-(NOR).html
25,26,Murdoch Mysteries,1,17,02-10-2023,Canada,Citytv,episode01-410145-02102023-saison17-Murdoch-Mysteries.html
26,27,Narvalo,3,3,02-10-2023,France,Canal+,episode03-410627-02102023-saison3-Narvalo.html
27,28,Narvalo,4,3,02-10-2023,France,Canal+,episode04-410628-02102023-saison3-Narvalo.html
28,29,Pure Boxer,13,1,02-10-2023,Corée du Sud,KBS2,episode13-409147-02102023-saison1-Pure-Boxer.html
29,30,SOKO Potsdam,2,6,02-10-2023,Allemagne,ZDF,episode02-410907-02102023-saison6-SOKO-Potsdam.html
30,31,The Irrational,2,1,02-10-2023,Etats-Unis,NBC,episode02-409167-02102023-saison1-The-Irrational.html
31,32,The Long Shadow,2,1,02-10-2023,Royaume-Uni,ITVX,episode02-410620-02102023-saison1-The-Long-Shadow.html
32,33,The Long Shadow,3,1,02-10-2023,Royaume-Uni,ITVX,episode03-410816-02102023-saison1-The-Long-Shadow.html
33,34,The Long Shadow,4,1,02-10-2023,Royaume-Uni,ITVX,episode04-410897-02102023-saison1-The-Long-Shadow.html
34,35,The Long Shadow,5,1,02-10-2023,Royaume-Uni,ITVX,episode05-410898-02102023-saison1-The-Long-Shadow.html
35,36,The Long Shadow,6,1,02-10-2023,Royaume-Uni,ITVX,episode06-410899-02102023-saison1-The-Long-Shadow.html
36,37,The Long Shadow,7,1,02-10-2023,Royaume-Uni,ITVX,episode07-410900-02102023-saison1-The-Long-Shadow.html
37,38,Un Si Grand Soleil,23,6,02-10-2023,France,France 2,episode23-410925-02102023-saison6-Un-Si-Grand-Soleil.html
38,39,Ví?az,5,1,02-10-2023,Etats-Unis,Showtime,episode05-410696-02102023-saison1-Viaz.html
39,40,Ahsoka,8,1,03-10-2023,Etats-Unis,Disney+,episode08-406770-03102023-saison1-Ahsoka.html
40,41,Alexandra Ehle,1,4,03-10-2023,France,France 3,episode01-410257-03102023-saison4-Alexandra-Ehle.html
41,42,À coeur battant,4,2,03-10-2023,Canada,Radio Canada,episode04-410929-03102023-saison2-A-coeur-battant.html
42,43,Club Soly,4,3,03-10-2023,Canada,Noovo.ca,episode04-410931-03102023-saison3-Club-Soly.html
43,44,Demain nous appartient,32,7,03-10-2023,France,TF1,episode32-410921-03102023-saison7-Demain-nous-appartient.html
44,45,Found,1,1,03-10-2023,Etats-Unis,NBC,episode01-408424-03102023-saison1-Found.html
45,46,Ici tout commence,27,4,03-10-2023,France,TF1,episode27-410916-03102023-saison4-Ici-tout-commence.html
46,47,Only Murders in The Building,10,3,03-10-2023,Etats-Unis,Hulu,episode10-406259-03102023-saison3-Only-Murders-in-The-Building.html
47,48,Un Si Grand Soleil,24,6,03-10-2023,France,France 2,episode24-410926-03102023-saison6-Un-Si-Grand-Soleil.html
48,49,Aller simple,4,2,04-10-2023,Canada,Noovo.ca,episode04-410649-04102023-saison2-Aller-simple.html
49,50,American Horror Story,3,12,04-10-2023,Etats-Unis,FX,episode03-410183-04102023-saison12-American-Horror-Story.html
50,51,Archer (2009),7,14,04-10-2023,Etats-Unis,FXX,episode07-408904-04102023-saison14-Archer-(2009).html
51,52,Assisted Living,20,4,04-10-2023,Etats-Unis,BET,episode20-410621-04102023-saison4-Assisted-Living.html
52,53,Assisted Living,21,4,04-10-2023,Etats-Unis,BET,episode21-410622-04102023-saison4-Assisted-Living.html
53,54,Assisted Living,22,4,04-10-2023,Etats-Unis,BET,episode22-410623-04102023-saison4-Assisted-Living.html
54,55,Bones of Crows,3,1,04-10-2023,Canada,CBC,episode03-410642-04102023-saison1-Bones-of-Crows.html
55,56,Children Ruin Everything,2,3,04-10-2023,Canada,CTV,episode02-410794-04102023-saison3-Children-Ruin-Everything.html
56,57,Chucky,1,3,04-10-2023,Etats-Unis,Syfy,episode01-409037-04102023-saison3-Chucky.html
57,58,Demain nous appartient,33,7,04-10-2023,France,TF1,episode33-410922-04102023-saison7-Demain-nous-appartient.html
58,59,Hans River Police,7,1,04-10-2023,Etats-Unis,Disney+,episode07-409972-04102023-saison1-Hans-River-Police.html
59,60,Hans River Police,8,1,04-10-2023,Etats-Unis,Disney+,episode08-409973-04102023-saison1-Hans-River-Police.html
60,61,Hudson & Rex,1,6,04-10-2023,Canada,Citytv,episode01-410258-04102023-saison6-Hudson--Rex.html
61,62,Ici tout commence,28,4,04-10-2023,France,TF1,episode28-410917-04102023-saison4-Ici-tout-commence.html
62,63,Invasion (2021),7,2,04-10-2023,Etats-Unis,Apple TV+,episode07-407971-04102023-saison2-Invasion-(2021).html
63,64,Magnum P.I. (2018),11,5,04-10-2023,Etats-Unis,NBC,episode11-409152-04102023-saison5-Magnum-PI-(2018).html
64,65,Quantum Leap (2022),1,2,04-10-2023,Etats-Unis,NBC,episode01-408633-04102023-saison2-Quantum-Leap-(2022).html
65,66,RFDS,8,2,04-10-2023,Australie,Seven,episode08-410739-04102023-saison2-RFDS.html
66,67,Robyn Hood,2,1,04-10-2023,Canada,Global,episode02-410949-04102023-saison1-Robyn-Hood.html
67,68,SurrealEstate,1,2,04-10-2023,Etats-Unis,Syfy,episode01-409249-04102023-saison2-SurrealEstate.html
68,69,The Morning Show,5,3,04-10-2023,Etats-Unis,Apple TV+,episode05-407700-04102023-saison3-The-Morning-Show.html
69,70,The Worst of Evil,4,1,04-10-2023,Etats-Unis,Disney+,episode04-410766-04102023-saison1-The-Worst-of-Evil.html
70,71,The Worst of Evil,5,1,04-10-2023,Etats-Unis,Disney+,episode05-410767-04102023-saison1-The-Worst-of-Evil.html
71,72,Un Si Grand Soleil,25,6,04-10-2023,France,France 2,episode25-410927-04102023-saison6-Un-Si-Grand-Soleil.html
72,73,Young Dylan,5,4,04-10-2023,Etats-Unis,Nickelodeon,episode05-410578-04102023-saison4-Young-Dylan.html
73,74,All Creatures Great and Small (2020),1,4,05-10-2023,Royaume-Uni,Channel 5,episode01-410607-05102023-saison4-All-Creatures-Great-and-Small-(2020).html
74,75,À La Carte,4,2,05-10-2023,Etats-Unis,ALLBLK,episode04-410517-05102023-saison2-A-La-Carte.html
75,76,Demain nous appartient,34,7,05-10-2023,France,TF1,episode34-410923-05102023-saison7-Demain-nous-appartient.html
76,77,Everything Now,1,1,05-10-2023,Etats-Unis,Netflix,episode01-410218-05102023-saison1-Everything-Now.html
