Numéro,Nom,Types,URL,Taille (m),Poids (kg)
0001,Bulbasaur,,https://pokemondb.net/pokedex/bulbasaur,0.7,6.9
0002,Ivysaur,,https://pokemondb.net/pokedex/ivysaur,1.0,13.0
0003,Venusaur,,https://pokemondb.net/pokedex/venusaur,2.0,100.0
0004,Charmander,,https://pokemondb.net/pokedex/charmander,0.6,8.5
0005,Charmeleon,,https://pokemondb.net/pokedex/charmeleon,1.1,19.0
0006,Charizard,,https://pokemondb.net/pokedex/charizard,1.7,90.5
0007,Squirtle,,https://pokemondb.net/pokedex/squirtle,0.5,9.0
0008,Wartortle,,https://pokemondb.net/pokedex/wartortle,1.0,22.5
0009,Blastoise,,https://pokemondb.net/pokedex/blastoise,1.6,85.5
0010,Caterpie,,https://pokemondb.net/pokedex/caterpie,0.3,2.9
0011,Metapod,,https://pokemondb.net/pokedex/metapod,0.7,9.9
0012,Butterfree,,https://pokemondb.net/pokedex/butterfree,1.1,32.0
0013,Weedle,,https://pokemondb.net/pokedex/weedle,0.3,3.2
0014,Kakuna,,https://pokemondb.net/pokedex/kakuna,0.6,10.0
0015,Beedrill,,https://pokemondb.net/pokedex/beedrill,1.0,29.5
0016,Pidgey,,https://pokemondb.net/pokedex/pidgey,0.3,1.8
0017,Pidgeotto,,https://pokemondb.net/pokedex/pidgeotto,1.1,30.0
0018,Pidgeot,,https://pokemondb.net/pokedex/pidgeot,1.5,39.5
0019,Rattata,,https://pokemondb.net/pokedex/rattata,0.3,3.5
0020,Raticate,,https://pokemondb.net/pokedex/raticate,0.7,18.5
0021,Spearow,,https://pokemondb.net/pokedex/spearow,0.3,2.0
0022,Fearow,,https://pokemondb.net/pokedex/fearow,1.2,38.0
0023,Ekans,,https://pokemondb.net/pokedex/ekans,2.0,6.9
0024,Arbok,,https://pokemondb.net/pokedex/arbok,3.5,65.0
0025,Pikachu,,https://pokemondb.net/pokedex/pikachu,0.4,6.0
0026,Raichu,,https://pokemondb.net/pokedex/raichu,0.8,30.0
0027,Sandshrew,,https://pokemondb.net/pokedex/sandshrew,0.6,12.0
0028,Sandslash,,https://pokemondb.net/pokedex/sandslash,1.0,29.5
0029,Nidoran♀,,https://pokemondb.net/pokedex/nidoran-f,0.4,7.0
0030,Nidorina,,https://pokemondb.net/pokedex/nidorina,0.8,20.0
0031,Nidoqueen,,https://pokemondb.net/pokedex/nidoqueen,1.3,60.0
0032,Nidoran♂,,https://pokemondb.net/pokedex/nidoran-m,0.5,9.0
0033,Nidorino,,https://pokemondb.net/pokedex/nidorino,0.9,19.5
0034,Nidoking,,https://pokemondb.net/pokedex/nidoking,1.4,62.0
0035,Clefairy,,https://pokemondb.net/pokedex/clefairy,0.6,7.5
0036,Clefable,,https://pokemondb.net/pokedex/clefable,1.3,40.0
0037,Vulpix,,https://pokemondb.net/pokedex/vulpix,0.6,9.9
0038,Ninetales,,https://pokemondb.net/pokedex/ninetales,1.1,19.9
0039,Jigglypuff,,https://pokemondb.net/pokedex/jigglypuff,0.5,5.5
0040,Wigglytuff,,https://pokemondb.net/pokedex/wigglytuff,1.0,12.0
0041,Zubat,,https://pokemondb.net/pokedex/zubat,0.8,7.5
0042,Golbat,,https://pokemondb.net/pokedex/golbat,1.6,55.0
0043,Oddish,,https://pokemondb.net/pokedex/oddish,0.5,5.4
0044,Gloom,,https://pokemondb.net/pokedex/gloom,0.8,8.6
0045,Vileplume,,https://pokemondb.net/pokedex/vileplume,1.2,18.6
0046,Paras,,https://pokemondb.net/pokedex/paras,0.3,5.4
0047,Parasect,,https://pokemondb.net/pokedex/parasect,1.0,29.5
0048,Venonat,,https://pokemondb.net/pokedex/venonat,1.0,30.0
0049,Venomoth,,https://pokemondb.net/pokedex/venomoth,1.5,12.5
0050,Diglett,,https://pokemondb.net/pokedex/diglett,0.2,0.8
0051,Dugtrio,,https://pokemondb.net/pokedex/dugtrio,0.7,33.3
0052,Meowth,,https://pokemondb.net/pokedex/meowth,0.4,4.2
0053,Persian,,https://pokemondb.net/pokedex/persian,1.0,32.0
0054,Psyduck,,https://pokemondb.net/pokedex/psyduck,0.8,19.6
0055,Golduck,,https://pokemondb.net/pokedex/golduck,1.7,76.6
0056,Mankey,,https://pokemondb.net/pokedex/mankey,0.5,28.0
0057,Primeape,,https://pokemondb.net/pokedex/primeape,1.0,32.0
0058,Growlithe,,https://pokemondb.net/pokedex/growlithe,0.7,19.0
0059,Arcanine,,https://pokemondb.net/pokedex/arcanine,1.9,155.0
0060,Poliwag,,https://pokemondb.net/pokedex/poliwag,0.6,12.4
0061,Poliwhirl,,https://pokemondb.net/pokedex/poliwhirl,1.0,20.0
0062,Poliwrath,,https://pokemondb.net/pokedex/poliwrath,1.3,54.0
0063,Abra,,https://pokemondb.net/pokedex/abra,0.9,19.5
0064,Kadabra,,https://pokemondb.net/pokedex/kadabra,1.3,56.5
0065,Alakazam,,https://pokemondb.net/pokedex/alakazam,1.5,48.0
0066,Machop,,https://pokemondb.net/pokedex/machop,0.8,19.5
0067,Machoke,,https://pokemondb.net/pokedex/machoke,1.5,70.5
0068,Machamp,,https://pokemondb.net/pokedex/machamp,1.6,130.0
